"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"165","C14366",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"166","C14370",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"167","C14378",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"168","C14384",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"169","C14386",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"170","C14388",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"171","C14394",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"172","C14418",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"173","C14424",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"174","C14436",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"175","C14440",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"176","C14446",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"177","C14450",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"178","C14454",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"179","C14456",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"180","C14466",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"181","C14468",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"182","C14474",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"183","C14478",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"184","C14484",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"185","C14486",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"186","C14490",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"187","C14494",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"188","C14496",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"189","C14502",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"190","C14516",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"191","C14518",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"192","C14520",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"193","C14528",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"194","C14538",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"195","C14540",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"196","C14542",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"197","C14548",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"198","C14554",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"199","C14566",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"200","C14574",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"201","C14602",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"202","C14614",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"203","C14626",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"204","C14636",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"205","C14646",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"206","C14652",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"207","C14654",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"208","C14656",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"209","C14664",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"210","C14680",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"211","C14684",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"212","C14686",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"213","C14692",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"214","C14694",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"215","C14696",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"216","C14704",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"217","C14712",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"218","C14718",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"219","C14724",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"220","C14746",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"221","C14754",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"222","C14758",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"223","C14764",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"224","C14774",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"225","C14776",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"226","C14778",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"227","C14788",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"228","C14790",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"229","C14796",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"230","C14798",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"231","C14800",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"232","C14802",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"233","C14806",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"234","C14822",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"235","C14832",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"236","C14836",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"237","C14838",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"238","C14842",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"239","C14844",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"240","C14850",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"241","C14852",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"242","C14868",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"243","C14880",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"244","C14882",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"245","C14892",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"246","C14894",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"247","C14900",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"248","C14906",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"249","C14920",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"250","C14924",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"251","C14928",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"252","C14940",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"253","C14944",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"254","C14952",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"255","C14958",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"256","C14964",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"257","C14966",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"258","C14976",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"259","C14984",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"260","C14992",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"261","C14996",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"262","C15006",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"263","C15010",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"264","C15018",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"265","C15022",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"266","C15028",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"267","C15032",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"268","C15034",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"269","C15036",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"270","C15046",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"271","C15048",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"272","C15052",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"273","C15066",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"274","C15080",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"275","C15082",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"276","C15086",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"277","C15088",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"278","C15096",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"279","C15098",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"280","C15100",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"281","C15110",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"282","C15112",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
